# Part Number, Outside Diameter (mm), Hole Diameter (mm), Rod Diameter (mm), Free Length (mm), Rate (N/mm), Solid Height (mm), Wire Diameter (mm), Material
part_number,outside_diameter,hole_diameter,rod_diameter,free_length,rate,solid_height,wire_diameter,material
LC 026CD 11S,6.35,6.76,4.78,25.4,1.08,6.84,0.66,SS
LC 026CD 05S,6.35,6.76,4.78,15.88,1.923,4.51,0.66,SS
LC 026CD 06S,6.35,6.76,4.78,17.48,1.723,4.87,0.66,SS
LC 026CD 07S,6.35,6.76,4.78,19.05,1.561,9.23,0.66,SS
LC 026CD 08 S,6.35,6.76,4.78,20.65,1.424,5.61,0.66,SS
LCM063CF 02 S,6.93,7.6,5.1,17,0.987,4.725,0.63,SS
LCM063CF 03 S,6.93,7.6,5.1,25.5,0.639,6.615,0.63,SS
LCM080CG 02S,7.1,7.7,5,15.5,2.567,6,0.8,SS
LC 028CE 07S,7.14,7.95,5.51,15.88,1.471,5.59,0.71,SS
LC 028CE 08S,7.14,7.95,5.51,19.05,1.206,6.5,0.71,SS
LC 028CE 09S,7.14,7.95,5.51,22.23,1.022,7.4,0.71,SS
LC 028CE 078316,7.14,7.95,5.51,15.88,1.471,5.59,0.71,SS316
LC 028CE 088316,7.14,7.95,5.51,19.05,1.206,6.5,0.71,SS316
LC 028CE 098316,7.14,7.95,5.51,22.23,1.022,7.4,0.71,SS316
LCM080D 05 S,7.49,8,5.41,15.5,2.673,5.11,0.81,SS
LCM065D 05 S,7.49,8,5.69,15.5,1.312,3.66,0.66,SS
LCM065D 06 S,7.49,8,5.69,17,1.186,3.91,0.66,SS
LCM080D 07 S,7.49,8,5.41,19,2.136,5.99,0.81,SS
LCM065D 08 S,7.49,8,5.69,21,0.945,4.6,0.66,SS
LCM080D 09 S,7.49,8,5.41,23,1.736,7.01,0.81,SS
LCM065D 10 S,7.49,8,5.69,25,0.786,5.26,0.66,SS
LCM095D 05 S,7.49,8,5.11,15.5,5.048,6.6,0.94,SS
LCM065D 12 S,7.49,8,5.69,30,0.649,6.1,0.66,SS
LCM095D 07 S,7.49,8,5.11,19,4.015,7.8,0.94,SS
LCM080D 06 S,7.49,8,5.41,17,2.413,5.49,0.81,SS
LCM065D 07 S,7.49,8,5.69,19,1.053,4.24,0.66,SS
LCM080D 08 S,7.49,8,5.41,21,1.915,6.5,0.81,SS
LCM065D 09 S,7.49,8,5.69,23,0.859,4.93,0.66,SS
LCM080D 10 S,7.49,8,5.41,25,1.589,7.52,0.81,SS
LCM065D 11 S,7.49,8,5.69,27.5,0.711,5.66,0.66,SS
LCM095D 06 S,7.49,8,5.11,17,4.546,7.11,0.94,SS
LC 040D 06 S,7.62,7.95,5.31,17.48,5.692,7.98,1.02,SS
LC 030D 05 S,7.62,7.95,5.79,17.48,1.751,5.41,0.76,SS
LC 035D 05 S316,7.62,7.95,5.54,15.88,3.678,6.22,0.89,SS316
LC 032D 04 S316,7.62,7.95,5.69,15.88,2.627,5.51,0.81,SS316
LC 030D 06 S,7.62,7.95,5.79,19.05,1.611,5.87,0.76,SS
LC 035D 06 S316,7.62,7.95,5.54,17.48,3.31,6.73,0.89,SS316
LC 032D 05 S316,7.62,7.95,5.69,17.48,2.329,6.12,0.81,SS316
LC 030D 07 S,7.62,7.95,5.79,20.65,1.454,6.25,0.76,SS
LC 035D 07 S316,7.62,7.95,5.54,19.05,2.995,7.21,0.89,SS316
LC 032D 06 S316,7.62,7.95,5.69,19.05,2.189,6.32,0.81,SS316
LC 030D 08 S,7.62,7.95,5.79,22.23,1.349,6.63,0.76,SS
LC 035D 08 S316,7.62,7.95,5.54,20.65,2.75,7.72,0.89,SS316
LC 026D 04 S316,7.62,7.95,5.94,15.88,1.313,3.84,0.66,SS316
LC 026D 07 S,7.62,7.95,5.94,20.65,1.016,4.65,0.66,SS
LC 030D 08 S316,7.62,7.95,5.79,22.23,1.349,6.63,0.76,SS316
LC 038D 05 S,7.62,7.95,5.38,15.88,5.114,6.78,0.97,SS
LC 038D 07 S,7.62,7.95,5.38,19.05,4.081,8,0.97,SS
LC 035D 05 S316,7.62,7.95,5.54,15.88,3.678,6.22,0.89,SS316
LC 030D 06 S,7.62,7.95,5.79,19.05,1.611,5.87,0.76,SS
LC 040D 05 S,7.62,7.95,5.31,15.88,6.427,7.37,1.02,SS
LC 032D 04 S316,7.62,7.95,5.69,15.88,2.627,5.51,0.81,SS316
LC 035D 06 S316,7.62,7.95,5.54,17.48,3.31,6.73,0.89,SS316
LC 030D 07 S,7.62,7.95,5.79,20.65,1.454,6.25,0.76,SS
LC 040D 06 S,7.62,7.95,5.31,17.48,5.692,7.98,1.02,SS
LC 032D 05 S316,7.62,7.95,5.69,17.48,2.329,6.12,0.81,SS316
LC 035D 07 S316,7.62,7.95,5.54,19.05,2.995,7.21,0.89,SS316
LC 030D 08 S,7.62,7.95,5.79,22.23,1.349,6.63,0.76,SS
LC 026D 07 S,7.62,7.95,5.94,20.65,1.016,4.65,0.66,SS
LC 032D 06 S316,7.62,7.95,5.69,19.05,2.189,6.32,0.81,SS316
LC 035D 08 S316,7.62,7.95,5.54,20.65,2.75,7.72,0.89,SS316
LC 030D 09 S,7.62,7.95,5.79,23.83,1.261,7.01,0.76,SS
LC 026D 08 S316,7.62,7.95,5.94,22.23,0.876,5.23,0.66,SSS316
LC 032D 08 S,7.62,7.95,5.69,22.23,1.751,7.34,0.81,SS
LC 026D 04 S,7.62,7.95,5.94,15.88,1.313,3.84,0.66,SS
LC 030D 10 S,7.62,7.95,5.79,25.4,1.173,7.39,0.76,SS
