# Deployment Sim 8 (Up to date)
# 1848 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Time (s),Altitude (m),Vertical acceleration (m/s²),Dynamic Pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,8.736e-5,1.748,1.955e-6
0.02,9.054e-4,12.869,1.368e-4
0.03,0.003,12.873,4.837e-4
0.04,0.006,12.877,0.001
0.05,0.011,12.882,0.002
0.06,0.017,12.886,0.003
# Event LIFTOFF occurred at t=0.07 seconds
0.07,0.024,12.89,0.004
0.08,0.033,12.895,0.005
0.09,0.043,12.899,0.007
0.1,0.054,12.903,0.009
0.11,0.066,12.907,0.011
0.12,0.08,12.912,0.013
0.13,0.095,12.916,0.016
0.14,0.111,12.92,0.018
0.15,0.129,12.924,0.021
0.16,0.148,12.929,0.024
0.17,0.168,12.933,0.028
0.18,0.189,12.937,0.031
0.19,0.212,12.941,0.035
0.2,0.236,12.945,0.039
0.21,0.261,12.949,0.043
0.22,0.288,12.954,0.048
0.23,0.316,12.958,0.052
0.24,0.345,12.962,0.057
0.25,0.376,12.966,0.062
0.26,0.408,12.97,0.067
0.27,0.441,12.974,0.073
0.28,0.475,12.978,0.079
0.29,0.511,12.982,0.085
0.3,0.548,12.987,0.091
0.31,0.586,12.991,0.097
0.32,0.626,12.995,0.104
0.33,0.667,12.999,0.111
0.34,0.709,13.003,0.118
0.35,0.752,13.007,0.125
0.36,0.797,13.011,0.132
0.37,0.843,13.015,0.14
0.38,0.891,13.019,0.148
0.39,0.939,13.023,0.156
0.4,0.989,13.027,0.164
0.41,1.041,13.031,0.173
0.42,1.093,13.035,0.182
0.43,1.147,13.039,0.191
0.44,1.203,13.043,0.2
0.45,1.259,13.047,0.209
0.46,1.317,13.051,0.219
0.47,1.376,13.055,0.229
0.48,1.437,13.059,0.239
0.49,1.498,13.063,0.249
0.5,1.561,13.067,0.26
0.51,1.626,13.071,0.271
0.52,1.691,13.075,0.282
0.53,1.758,13.079,0.293
0.54,1.827,13.083,0.304
0.55,1.896,13.087,0.316
0.56,1.967,13.091,0.328
0.57,2.039,13.095,0.34
0.58,2.113,13.099,0.352
0.59,2.188,13.103,0.365
0.6,2.264,13.107,0.378
0.61,2.341,13.111,0.391
0.62,2.42,13.115,0.404
0.63,2.5,13.119,0.417
0.64,2.582,13.123,0.431
0.65,2.664,13.127,0.445
0.66,2.748,13.131,0.459
0.67,2.834,13.135,0.473
0.68,2.92,13.139,0.488
0.69,3.008,13.143,0.503
0.7,3.097,13.147,0.518
0.71,3.188,13.15,0.533
0.72,3.28,13.154,0.548
0.73,3.373,13.158,0.564
0.74,3.468,13.162,0.58
0.75,3.564,13.166,0.596
0.76,3.661,13.17,0.613
0.77,3.759,13.174,0.629
0.78,3.859,13.178,0.646
0.79,3.96,13.182,0.663
0.8,4.063,13.186,0.68
0.81,4.166,13.19,0.698
0.82,4.271,13.194,0.716
0.83,4.378,13.197,0.733
0.84,4.486,13.201,0.752
0.85,4.595,13.205,0.77
0.86,4.705,13.209,0.789
0.87,4.817,13.213,0.808
0.88,4.93,13.217,0.827
0.89,5.044,13.221,0.846
0.9,5.16,13.225,0.866
0.91,5.276,13.229,0.885
0.92,5.395,13.232,0.905
0.93,5.514,13.236,0.926
0.94,5.635,13.24,0.946
0.95,5.758,13.244,0.967
0.96,5.881,13.248,0.988
0.97,6.006,13.252,1.009
0.98,6.132,13.256,1.03
0.99,6.26,13.26,1.052
1,6.389,13.264,1.074
1.01,6.519,13.268,1.096
1.02,6.65,13.272,1.118
1.03,6.783,13.276,1.141
1.04,6.917,13.279,1.164
1.05,7.053,13.283,1.187
1.06,7.19,13.287,1.21
1.07,7.328,13.291,1.233
1.08,7.468,13.295,1.257
1.09,7.608,13.299,1.281
1.1,7.751,13.303,1.305
1.11,7.894,13.306,1.33
1.12,8.039,13.31,1.354
1.13,8.185,13.314,1.379
1.14,8.332,13.318,1.404
1.15,8.481,13.322,1.43
1.16,8.631,13.326,1.455
1.17,8.783,13.33,1.481
1.18,8.936,13.334,1.507
1.19,9.09,13.338,1.533
1.2,9.245,13.342,1.56
1.21,9.402,13.346,1.587
1.22,9.56,13.349,1.614
1.23,9.72,13.353,1.641
1.24,9.881,13.357,1.668
1.25,10.043,13.361,1.696
1.26,10.206,13.365,1.724
1.27,10.371,13.369,1.752
1.28,10.537,13.372,1.78
1.29,10.705,13.376,1.809
1.3,10.874,13.38,1.838
1.31,11.044,13.384,1.867
1.32,11.215,13.387,1.896
1.33,11.388,13.391,1.926
1.34,11.562,13.395,1.956
1.35,11.738,13.398,1.986
1.36,11.915,13.402,2.016
1.37,12.093,13.406,2.047
1.38,12.273,13.41,2.077
1.39,12.453,13.413,2.108
1.4,12.636,13.417,2.14
1.41,12.819,13.421,2.171
1.42,13.004,13.425,2.203
1.43,13.19,13.429,2.235
1.44,13.378,13.432,2.267
1.45,13.567,13.436,2.299
1.46,13.757,13.44,2.332
1.47,13.949,13.444,2.365
1.48,14.142,13.447,2.398
1.49,14.336,13.451,2.431
1.5,14.532,13.455,2.465
1.51,14.729,13.458,2.499
1.52,14.927,13.462,2.533
1.53,15.127,13.466,2.567
1.54,15.328,13.469,2.602
1.55,15.53,13.473,2.637
# Event LAUNCHROD occurred at t=1.56 seconds
1.56,15.734,13.477,2.672
1.575,16.042,12.999,2.725
1.598,16.51,13.012,2.805
1.631,17.224,13.033,2.929
1.681,18.309,13.072,3.117
1.731,19.426,13.117,3.311
1.781,20.576,13.171,3.511
1.831,21.759,13.231,3.717
1.881,22.976,13.297,3.93
1.931,24.225,13.367,4.148
1.981,25.508,13.434,4.372
2.031,26.825,13.499,4.602
2.081,28.175,13.561,4.838
2.131,29.559,13.617,5.08
2.181,30.977,13.669,5.326
2.231,32.43,13.713,5.579
2.281,33.916,13.753,5.836
2.331,35.437,13.786,6.1
2.381,36.993,13.813,6.369
2.431,38.583,13.837,6.643
2.481,40.207,13.856,6.924
2.531,41.867,13.871,7.211
2.581,43.561,13.882,7.504
2.631,45.289,13.889,7.804
2.681,47.053,13.887,8.11
2.731,48.851,13.88,8.424
2.781,50.684,13.866,8.744
2.831,52.551,13.843,9.072
2.881,54.453,13.812,9.407
2.931,56.39,13.773,9.749
2.981,58.361,13.725,10.098
3.031,60.366,13.677,10.454
3.081,62.405,13.64,10.816
3.131,64.479,13.624,11.185
3.181,66.587,13.623,11.561
3.231,68.728,13.638,11.944
3.281,70.904,13.673,12.333
3.331,73.114,13.719,12.729
3.381,75.359,13.778,13.131
3.431,77.637,13.842,13.54
3.481,79.951,13.909,13.954
3.531,82.299,13.969,14.375
3.581,84.682,14.021,14.802
3.631,87.1,14.062,15.234
3.681,89.553,14.094,15.672
3.731,92.042,14.113,16.117
3.781,94.566,14.119,16.568
3.831,97.125,14.109,17.026
3.881,99.719,14.081,17.492
3.931,102.349,14.036,17.964
3.981,105.013,13.98,18.445
4.031,107.713,13.922,18.932
4.081,110.447,13.865,19.427
4.131,113.216,13.818,19.929
4.181,116.02,13.795,20.438
4.229,118.731,13.803,20.93
4.277,121.501,13.846,21.434
4.327,124.406,13.912,21.963
4.377,127.345,13.988,22.498
4.427,130.319,14.06,23.039
4.477,133.329,14.122,23.586
4.527,136.374,14.171,24.139
4.577,139.454,14.197,24.698
4.62,142.13,14.192,25.184
4.667,145.063,14.161,25.718
4.717,148.242,14.111,26.297
4.767,151.457,14.049,26.884
4.817,154.706,13.982,27.478
4.867,157.991,13.916,28.079
4.917,161.31,13.858,28.687
4.966,164.634,13.843,29.296
5.014,167.851,13.862,29.887
5.064,171.272,13.91,30.515
5.114,174.728,13.978,31.15
5.164,178.219,14.059,31.792
5.214,181.745,14.148,32.439
5.264,185.306,14.226,33.092
5.307,188.39,14.252,33.658
5.347,191.272,14.25,34.186
5.389,194.337,14.22,34.748
5.439,198.023,14.161,35.425
5.489,201.744,14.08,36.11
5.539,205.5,14.006,36.802
5.589,209.291,13.972,37.501
5.639,213.118,13.955,38.206
5.689,216.979,13.99,38.919
5.739,220.875,14.03,39.638
5.789,224.806,14.075,40.363
5.839,228.772,14.137,41.095
5.889,232.774,14.185,41.833
5.939,236.811,14.2,42.577
5.985,240.621,14.16,43.28
6.035,244.726,14.081,44.037
6.085,248.867,14.004,44.802
6.135,253.043,13.945,45.575
6.185,257.204,13.951,46.344
6.235,261.45,13.99,47.13
6.285,265.73,14.05,47.921
6.335,270.045,14.125,48.719
6.385,274.396,14.187,49.523
6.433,278.628,14.194,50.304
6.478,282.622,14.149,51.042
6.528,287.074,14.072,51.864
6.578,291.561,13.991,52.694
6.628,296.084,13.924,53.531
6.678,300.641,13.895,54.375
6.724,304.803,13.923,55.145
6.774,309.427,14.002,56.001
6.824,314.086,14.098,56.862
6.874,318.779,14.177,57.729
6.915,322.731,14.196,58.459
6.952,326.184,14.162,59.096
6.998,330.636,14.082,59.918
7.048,335.453,13.942,60.808
7.098,340.306,13.869,61.705
7.142,344.582,13.851,62.496
7.183,348.659,13.887,63.25
7.233,353.605,13.98,64.164
7.283,358.586,14.082,65.083
7.333,363.602,14.14,66.008
7.371,367.421,14.133,66.712
7.411,371.445,14.069,67.453
7.461,376.551,13.944,68.395
7.511,381.692,13.848,69.343
7.559,386.711,13.825,70.269
7.608,391.816,13.846,71.211
7.658,397.06,13.923,72.177
7.708,402.337,14.024,73.149
7.758,407.65,14.113,74.126
7.79,411.052,14.113,74.75
7.823,414.54,14.07,75.391
7.863,418.921,13.961,76.196
7.913,424.343,13.792,77.192
7.963,429.799,13.693,78.195
7.996,433.331,13.693,78.843
8.032,437.365,13.742,79.584
8.082,442.903,13.856,80.6
8.132,448.475,13.972,81.622
8.172,452.94,14.014,82.439
8.201,456.201,13.993,83.035
8.232,459.73,13.899,83.68
8.279,465.05,13.712,84.653
8.329,470.759,13.57,85.698
8.356,473.79,13.55,86.252
8.382,476.844,13.61,86.811
8.421,481.355,13.72,87.635
8.471,487.161,13.862,88.695
8.521,493.002,13.936,89.759
8.55,496.392,13.924,90.376
8.582,500.173,13.845,91.065
8.63,505.872,13.69,92.105
8.68,511.823,13.548,93.191
8.718,516.322,13.509,94.012
8.753,520.552,13.555,94.783
8.803,526.586,13.651,95.883
8.853,532.654,13.763,96.987
8.894,537.676,13.752,97.9
8.944,543.807,13.688,99.014
8.994,549.972,13.563,100.133
9.044,556.171,13.471,101.258
9.091,561.957,13.448,102.307
9.132,567.067,13.523,103.233
9.182,573.359,13.673,104.372
9.23,579.453,13.715,105.474
9.262,583.605,13.668,106.223
9.311,589.86,13.509,107.353
9.361,596.274,13.391,108.51
9.398,600.973,13.399,109.358
9.447,607.359,13.477,110.508
9.497,613.865,13.595,111.679
9.547,620.404,13.612,112.854
9.588,625.812,13.549,113.824
9.638,632.413,13.408,115.008
9.688,639.048,13.299,116.197
